schemaVersion,recordType,source,content,collectedAt
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/Significant-Gravitas/AutoGPT'}","{'startupName': 'Significant-Gravitas', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853900
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/f/prompts.chat'}","{'startupName': 'f', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853916
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/rasbt/LLMs-from-scratch'}","{'startupName': 'rasbt', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853923
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/hacksider/Deep-Live-Cam'}","{'startupName': 'hacksider', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853928
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/thedotmack/claude-mem'}","{'startupName': 'thedotmack', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853933
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/OpenHands/OpenHands'}","{'startupName': 'OpenHands', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853937
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/FlowiseAI/Flowise'}","{'startupName': 'FlowiseAI', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853942
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/jingyaogong/minimind'}","{'startupName': 'jingyaogong', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853946
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/microsoft/AI-For-Beginners'}","{'startupName': 'microsoft', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853950
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/Kong/kong'}","{'startupName': 'Kong', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853954
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/usestrix/strix'}","{'startupName': 'usestrix', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853958
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/XingangPan/DragGAN'}","{'startupName': 'XingangPan', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853960
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/ItzCrazyKns/Vane'}","{'startupName': 'ItzCrazyKns', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853963
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code'}","{'startupName': 'ashishpatel26', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853966
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/explosion/spaCy'}","{'startupName': 'explosion', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853969
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/facebookresearch/fairseq'}","{'startupName': 'facebookresearch', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853972
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/Lightning-AI/pytorch-lightning'}","{'startupName': 'Lightning-AI', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853975
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/AMAI-GmbH/AI-Expert-Roadmap'}","{'startupName': 'AMAI-GmbH', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853978
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk'}","{'startupName': 'feder-cr', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853980
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/simstudioai/sim'}","{'startupName': 'simstudioai', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853983
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/e2b-dev/awesome-ai-agents'}","{'startupName': 'e2b-dev', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853986
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/ZuzooVn/machine-learning-for-software-engineers'}","{'startupName': 'ZuzooVn', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853988
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/The-Art-of-Hacking/h4cker'}","{'startupName': 'The-Art-of-Hacking', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853991
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/microsoft/semantic-kernel'}","{'startupName': 'microsoft', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853994
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/HandsOnLLM/Hands-On-Large-Language-Models'}","{'startupName': 'HandsOnLLM', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.853997
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/invoke-ai/InvokeAI'}","{'startupName': 'invoke-ai', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854000
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/harvard-edge/cs249r_book'}","{'startupName': 'harvard-edge', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854003
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/yamadashy/repomix'}","{'startupName': 'yamadashy', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854006
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/vercel/ai'}","{'startupName': 'vercel', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854008
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/vit-pytorch'}","{'startupName': 'lucidrains', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854011
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/nautechsystems/nautilus_trader'}","{'startupName': 'nautechsystems', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854014
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/Tencent/ncnn'}","{'startupName': 'Tencent', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854016
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/marimo-team/marimo'}","{'startupName': 'marimo-team', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854019
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/recommenders-team/recommenders'}","{'startupName': 'recommenders-team', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854022
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/huggingface/datasets'}","{'startupName': 'huggingface', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854025
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/bee-san/Ciphey'}","{'startupName': 'bee-san', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854028
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/onnx/onnx'}","{'startupName': 'onnx', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854031
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/dyad-sh/dyad'}","{'startupName': 'dyad-sh', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854033
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/elder-plinius/L1B3RT4S'}","{'startupName': 'elder-plinius', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854037
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/camel-ai/owl'}","{'startupName': 'camel-ai', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854040
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/stefan-jansen/machine-learning-for-trading'}","{'startupName': 'stefan-jansen', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854043
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/Alibaba-NLP/DeepResearch'}","{'startupName': 'Alibaba-NLP', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854046
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/amark/gun'}","{'startupName': 'amark', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854049
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/microsoft/AirSim'}","{'startupName': 'microsoft', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854052
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/TransformerOptimus/SuperAGI'}","{'startupName': 'TransformerOptimus', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.854054
