schemaVersion,recordType,source,content,collectedAt
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/Significant-Gravitas/AutoGPT'}","{'entityName': 'Significant-Gravitas', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771880
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/f/prompts.chat'}","{'entityName': 'f', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771902
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/rasbt/LLMs-from-scratch'}","{'entityName': 'rasbt', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771912
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/hacksider/Deep-Live-Cam'}","{'entityName': 'hacksider', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771919
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/thedotmack/claude-mem'}","{'entityName': 'thedotmack', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771926
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/OpenHands/OpenHands'}","{'entityName': 'OpenHands', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771932
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/FlowiseAI/Flowise'}","{'entityName': 'FlowiseAI', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771938
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/jingyaogong/minimind'}","{'entityName': 'jingyaogong', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771944
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/microsoft/AI-For-Beginners'}","{'entityName': 'microsoft', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771954
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/Kong/kong'}","{'entityName': 'Kong', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771960
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/usestrix/strix'}","{'entityName': 'usestrix', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771967
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/XingangPan/DragGAN'}","{'entityName': 'XingangPan', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771973
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/ItzCrazyKns/Vane'}","{'entityName': 'ItzCrazyKns', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771979
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code'}","{'entityName': 'ashishpatel26', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771984
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/explosion/spaCy'}","{'entityName': 'explosion', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.771990
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/facebookresearch/fairseq'}","{'entityName': 'facebookresearch', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.772000
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/Lightning-AI/pytorch-lightning'}","{'entityName': 'Lightning-AI', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.772006
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/AMAI-GmbH/AI-Expert-Roadmap'}","{'entityName': 'AMAI-GmbH', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.772012
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk'}","{'entityName': 'feder-cr', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.772018
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/simstudioai/sim'}","{'entityName': 'simstudioai', 'data': {'employeeCount': None}}",2026-07-20T09:33:12.772023
